ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate,candle_signals,candle_bullish_confirmation,candle_bearish_breakdown,strike_variant,strike_anchor_kind,strike_aggressive_anchor,strike_conservative_anchor
CS.PA,PAR,Financial Services,France,91246952448,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,44.029998779296875,40.86873984718323,41.651260610580444,41.260000228881836,0.054025397108003685,16.5,10,POLARIDAD | SMA50W | POLARIDAD | POLARIDAD | HVN | GAP | POLARIDAD | SMA200D | POLARIDAD | POLARIDAD,True,50.5163855809121,55.766062760131696,bajando_positivo,0,True,75.79365079365078,52.04222,0.18197187015300376,1.72222,0.8333333333333334,0,,,False,,,False,,True,2,True,,2026-09-25T12:10:00.779412,stoxx600,,40.0,39.0,38.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
EDP.LS,LIS,Utilities,Portugal,19756009472,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,4.861999988555908,4.349675940861702,4.45840403617382,4.404039988517761,0.08301027423530753,15.0,8,SMA50W | HVN | POLARIDAD | POLARIDAD | EMA200D | SMA200D | POLARIDAD | POLARIDAD,True,60.22405329953588,63.38858779261936,bajando_positivo,0,True,59.523809523809526,5.21136,0.0718552061428237,1.68182,0.7272727272727273,0,2026-11-06,42,True,,,False,,True,2,True,Earnings en 42 días (2026-11-06),2026-09-25T12:10:00.745596,stoxx600,,4.0,3.5,3.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
AME,NYQ,Industrials,United States,54481641472,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,247.74000549316406,236.54449727304078,240.17836387197875,238.36143057250976,0.030522489115686915,12.6,5,FIB_618 | AVWAP_earnings | POLARIDAD | EMA50D | POLARIDAD,True,54.92640836328672,60.69916524626936,subiendo_positivo,1,True,60.71428571428571,278.33334,0.12348968203958544,1.75,0.7,0,2026-10-29,34,True,,,False,,True,2,True,Earnings en 34 días (2026-10-29),2026-09-25T12:10:00.728753,sp500,,235.0,230.0,220.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
AAL.L,LSE,Basic Materials,United Kingdom,44134588416,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,4034.0,3587.6578319956284,3653.120389110553,3620.3891105530906,0.09441735520313513,10.6,4,EMA200D | SMA200D | HVN | POLARIDAD,True,50.62536744275366,57.09551311245337,subiendo_negativo,1,True,42.46031746031746,4108.9717,0.018584952900347007,2.41176,0.47058823529411764,0,,,False,,,False,,True,2,True,,2026-09-25T12:10:00.741704,stoxx600,,3500.0,3400.0,3100.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
AMAT,NMS,Technology,United States,352809615360,Uptrend: Proximidad a zona + divergencia,Uptrend: Proximidad a zona + divergencia,474.25,419.90768716106413,430.31720335712436,425.1124452590942,0.09263636614206777,8.9,5,SMA200D | POLARIDAD | FIB_786 | EMA200D | HVN,True,52.480507074545805,51.99070062136123,subiendo_positivo,1,True,53.17460317460318,640.8857,0.3513667896678967,1.46154,0.8205128205128205,0,2026-11-12,48,False,,,False,,True,2,True,,2026-09-25T12:10:00.725293,nasdaq100|sp500,,410.0,395.0,355.0,uptrend,zone_proximity,zone_proximity|bullish_divergence,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
DLR,NYQ,Real Estate,United States,70113263616,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,181.0,165.0442296380952,166.50992190586152,165.77707577197836,0.08005568007811316,8.2,3,POLARIDAD | POLARIDAD | AVWAP_pivot_low,True,48.880069207547685,47.282873945809605,bajando_negativo,0,True,85.71428571428571,223.4375,0.23446132596685088,1.44118,0.8529411764705882,0,2026-10-22,27,True,,,False,,True,2,True,Earnings en 27 días (2026-10-22),2026-09-25T12:10:00.747515,sp500,,162.5,160.0,150.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CFG,NYQ,Financial Services,United States,28235694080,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,64.7300033569336,59.24529780578613,60.159700973510745,59.70249938964844,0.07060562562033759,5.8,3,POLARIDAD | HVN | POLARIDAD,True,38.81997607056607,44.84630865878356,bajando_negativo,1,True,36.11111111111111,80.70588,0.24680790691408383,1.61111,0.8333333333333334,0,2026-10-16,21,True,,,False,,True,2,True,Earnings en 21 días (2026-10-16),2026-09-25T12:10:00.748814,sp500,,58.0,57.0,54.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BR,NYQ,Technology,United States,18600376320,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,162.66000366210938,154.97431933202927,156.39678223441484,155.68555078322206,0.038504987622556594,9.8,3,POLARIDAD | GAP | AVWAP_pivot_low,True,41.06712133153238,47.117596528974765,subiendo_negativo,1,False,37.301587301587304,213.375,0.31178528953706386,2.33333,0.5555555555555556,0,2026-11-03,39,True,,,False,,True,2,True,Earnings en 39 días (2026-11-03),2026-09-25T12:10:00.744374,sp500,,152.5,150.0,140.0,downtrend,double_bottom_confirmed,double_bottom_confirmed|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
COIN,NMS,Financial Services,United States,51250323456,Uptrend: Dip post-earnings,Uptrend: Dip post-earnings,199.2100067138672,185.95477713013582,188.69021949517585,187.32249831265585,0.052807524040703935,8.2,3,SMA200W | SMA200D | AVWAP_pivot_low,True,59.286687251077424,55.46881697487921,subiendo_positivo,1,True,89.28571428571429,203.60333,0.022053727915601673,1.97143,0.6,0,2026-10-29,34,True,,,False,,True,2,True,Earnings en 34 días (2026-10-29),2026-09-25T12:10:00.749359,sp500,,182.5,172.5,150.0,uptrend,post_earnings_dip,post_earnings_dip|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BP.L,LSE,Energy,United Kingdom,85513732096,Uptrend: Dip post-earnings,Uptrend: Dip post-earnings,553.5,511.6513476567602,517.492588325413,514.5719679910866,0.06505404096583026,6.9,3,EMA200D | SMA200D | HVN,True,51.65919150507177,55.57815346786885,subiendo_negativo,1,True,59.523809523809526,626.65375,0.13216576332429986,2.26316,0.5263157894736842,0,2026-10-30,35,True,,,False,,True,2,True,Earnings en 35 días (2026-10-30),2026-09-25T12:10:00.745837,stoxx600,,500.0,450.0,400.0,uptrend,post_earnings_dip,post_earnings_dip|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
