ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
APO,NYQ,Financial Services,United States,82841395200,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,140.75999450683594,125.1133202645111,128.24187825233457,126.67759925842284,0.08893234401123416,18.0,9,POLARIDAD | HVN | FIB_618 | SMA50D | EMA50D | SMA200D | EMA200D | POLARIDAD | SMA50W,True,65.45125347227832,61.306046730694725,subiendo_positivo,1,True,83.33333333333334,152.89474,0.08620876645867415,1.7619,0.7142857142857143,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.327714,sp500,,135.0,127.5,120.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ABI.BR,BRU,Consumer Defensive,Belgium,136656764928,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,68.62000274658203,63.59334156593323,64.12385615745545,63.85859886169434,0.0655223901073151,12.0,3,SMA200D | HVN | POLARIDAD,True,38.45524284391576,51.623460822182274,bajando_negativo,0,True,78.96825396825396,81.39082,0.18610925010570756,1.68,0.76,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.307748,stoxx600,,67.0,64.0,62.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ANET,NYQ,Technology,United States,249533317120,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,198.82000732421875,189.62654204798514,191.29204752861392,190.45929478829953,0.037863190414880496,8.2,2,POLARIDAD | AVWAP_pivot_low,True,59.66112862147682,65.43276162587858,neutral,0,True,61.111111111111114,241.81519,0.21625179102658598,1.3,0.9666666666666667,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.323898,sp500,,192.5,190.0,180.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AKAM,NMS,Technology,United States,16767416320,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,124.98999786376953,117.6072487952553,118.52541095693421,118.06632987609476,0.05172083380528797,8.2,3,AVWAP_pivot_low | POLARIDAD | AVWAP_earnings,True,55.58923230212014,54.77950520671203,subiendo_positivo,1,True,71.42857142857143,157.43086,0.2595476653386999,2.16,0.52,1,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.323339,sp500,,120.0,117.5,112.5,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
ARES,NYQ,Financial Services,United States,47204352000,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,144.02000427246094,133.4380213022342,134.30768363856197,133.87285247039807,0.06743730277583479,8.2,3,EMA200D | SMA200D | AVWAP_pivot_low,True,63.4428809750986,59.35914401311599,bajando_positivo,0,True,76.19047619047619,146.5,0.017219800402500596,2.0,0.6111111111111112,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.321975,sp500,,137.5,135.0,127.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AEP,NMS,Utilities,United States,67276627968,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,125.5999984741211,118.94023756027222,120.57975908279418,119.7599983215332,0.03997005933372915,7.5,4,POLARIDAD | HVN | POLARIDAD | POLARIDAD,True,39.94149913496477,46.11366690113578,subiendo_negativo,2,True,56.74603174603175,144.95,0.15406052357449518,2.04167,0.5652173913043478,1,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.320122,nasdaq100|sp500,,122.5,120.0,117.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BP.L,LSE,Energy,United Kingdom,82575777792,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,522.9000244140625,459.79899565170285,471.23252809097295,465.5157618713379,0.09880951216436784,7.3,4,HVN | SMA200W | POLARIDAD | HVN,True,49.61657636850414,51.893021446053254,bajando_negativo,0,True,71.82539682539682,594.25867,0.13646709170820692,2.31579,0.47368421052631576,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.392562,stoxx600,,500.0,450.0,450.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
CME,NMS,Financial Services,United States,94270898176,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,269.79998779296875,258.7529047489627,261.3703564371393,260.061630593051,0.031244001991200657,6.0,3,EMA50D | AVWAP_pivot_low | AVWAP_earnings,True,64.37872528147491,50.29784823308207,subiendo_positivo,1,True,75.79365079365078,284.13333,0.053125807470495445,2.4375,0.5625,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.391932,sp500,,265.0,260.0,250.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AJG,NYQ,Financial Services,United States,64985001984,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,251.2100067138672,230.86736287097136,234.41910221755515,232.64323254426324,0.06684011005754714,9.2,3,POLARIDAD | SMA200D | AVWAP_52w_high,True,52.30918471372485,58.81873346646536,subiendo_negativo,1,False,76.19047619047619,290.44443,0.15618176918732996,1.72727,0.7272727272727273,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.336860,sp500,,245.0,235.0,225.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
ALC.SW,EBS,Healthcare,Switzerland,28752631808,Reversal: Doble piso en formación,Reversal: Doble piso en formación,60.68000030517578,57.6570567800517,57.77771860839735,57.71738769422453,0.04782929601486632,8.2,2,AVWAP_pivot_low | POLARIDAD,True,65.52745918404074,57.07918619251944,subiendo_positivo,1,False,80.55555555555556,73.91666,0.21813875458558907,1.61538,0.7692307692307693,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.337849,stoxx600,,59.0,58.0,56.0,reversal,double_bottom_unconfirmed,double_bottom_unconfirmed|hma_weekly_flip,0
BXP,NYQ,Real Estate,United States,12207417344,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,68.44999694824219,63.70495493099213,64.88539670780182,64.29517581939697,0.0520759736941363,7.3,4,SMA200D | AVWAP_52w_high | EMA200D | HVN,True,49.49116520229614,58.362735912785084,subiendo_negativo,2,False,58.333333333333336,75.15,0.09788171439691906,2.13636,0.5454545454545454,0,,,False,,,False,,True,2,True,,2026-08-17T07:38:16.383200,sp500,,67.0,64.0,62.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
