ticker,exchange,sector,country,market_cap,tipo_T,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at
APP,NMS,Communication Services,United States,163229663232,T1,SMA50W (502.03) > SMA200W (204.94); spot (482.28) > SMA200W,482.2799987792969,458.6251779862872,488.07483422074404,473.3500061035156,0.018516199507307027,6,8,FIB_786 | FIB_618 | HVN | POLARIDAD | POLARIDAD | AVWAP_pivot_low | EMA200D | AVWAP_earnings,True,53.565443808543,50.09755035503079,bajando_negativo,0,True,57.14285714285714,644.4667,0.336291576742173,1.46875,0.875,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:27.243461
APO,NYQ,Financial Services,United States,75466137600,T1,SMA50W (131.63) > SMA200W (108.23); spot (132.24) > SMA200W,132.24000549316406,126.95591412300789,131.2040150348984,129.07996457895314,0.023896255164434922,6,10,HVN | FIB_618 | AVWAP_52w_high | POLARIDAD | EMA200D | POLARIDAD | POLARIDAD | AVWAP_pivot_low | AVWAP_earnings | HVN,True,59.34015868864756,54.639355270613294,bajando_negativo,0,True,44.84126984126984,149.58824,0.1311874908212458,1.8,0.7,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:27.051663
ACGL,NMS,Financial Services,Bermuda,33586821120,T1,SMA50W (92.77) > SMA200W (84.34); spot (96.84) > SMA200W,96.83999633789062,93.34797915859329,95.32621917514695,94.33709916687012,0.025845696671522873,6,11,POLARIDAD | FIB_786 | POLARIDAD | HVN | EMA200D | FIB_618 | POLARIDAD | AVWAP_earnings | POLARIDAD | AVWAP_pivot_low | POLARIDAD,True,57.461201697343796,54.25443102665142,subiendo_positivo,1,True,55.158730158730165,108.92105,0.12475272737471599,2.25,0.5,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:27.000660
AZN.L,LSE,Healthcare,United Kingdom,217211781120,T1,SMA50W (12977.48) > SMA200W (11564.48); spot (13950.00) > SMA200W,13950.0,13299.215168380035,13798.655981431979,13548.935574906007,0.028750137999569398,6,7,FIB_786 | EMA200D | FIB_618 | AVWAP_pivot_low | AVWAP_earnings | HVN | POLARIDAD,True,49.56426557593487,50.70228353811586,subiendo_positivo,2,True,57.936507936507944,16495.914,0.1825027956989247,1.58333,0.8333333333333334,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:27.274311
CARR,NYQ,Industrials,United States,51645489152,T1,SMA50W (61.94) > SMA200W (57.74); spot (63.59) > SMA200W,63.59000015258789,59.86839454203287,62.174221536480495,61.02130803925668,0.04039459202968209,6,8,AVWAP_52w_high | FIB_786 | POLARIDAD | POLARIDAD | EMA200D | HVN | FIB_618 | POLARIDAD,True,49.874722570425675,53.93931261384617,bajando_negativo,0,True,85.31746031746032,75.68609,0.19022000028914654,2.0,0.5384615384615384,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:28.018194
BARC.L,LSE,Financial Services,United Kingdom,59900223488,T1,SMA50W (407.08) > SMA200W (248.85); spot (440.60) > SMA200W,440.6000061035156,415.0632737342595,430.23620312786545,422.6497384310625,0.04074050708986116,6,8,EMA200D | FIB_786 | AVWAP_52w_high | FIB_618 | AVWAP_pivot_low | AVWAP_earnings | HVN | POLARIDAD,True,55.96986208143992,53.820331648690754,subiendo_negativo,1,True,78.57142857142857,539.25,0.22389921137065838,1.75,0.75,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:27.511386
CDNS,NMS,Technology,United States,98869002240,T1,SMA50W (321.68) > SMA200W (266.12); spot (350.89) > SMA200W,350.8900146484375,316.14959251048447,327.23041237232803,321.69000244140625,0.0832169938956149,6,13,POLARIDAD | POLARIDAD | POLARIDAD | EMA200D | AVWAP_52w_high | HVN | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | AVWAP_pivot_low | POLARIDAD | GAP,True,59.36668273143192,60.22341649882509,bajando_negativo,0,True,65.07936507936508,379.5473,0.08167027887719946,1.44,0.88,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:28.358010
AXON,NMS,Industrials,United States,31421915136,T1,SMA50W (603.65) > SMA200W (388.08); spot (398.44) > SMA200W,398.44000244140625,384.29232061634303,407.8604967072508,396.0764086617969,0.00593211967956689,5,6,SMA200W | FIB_786 | AVWAP_pivot_low | AVWAP_earnings | HVN | FIB_618,True,48.79223651892553,39.280922260504994,subiendo_positivo,2,True,59.523809523809526,662.0378,0.6615746309191377,1.6,0.9,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:27.275306
BAC,NYQ,Financial Services,United States,365403471872,T1,SMA50W (50.89) > SMA200W (39.64); spot (51.23) > SMA200W,51.22999954223633,50.20770532109418,51.343572102837044,50.77563871196561,0.00886903834336598,5,4,HVN | EMA200D | POLARIDAD | AVWAP_pivot_low,True,48.650411404235165,50.06001837156183,subiendo_negativo,2,True,51.587301587301596,62.97826,0.22932384467577194,1.48,0.88,0,2026-07-14,54,False,2026-06-04,14,True,0.28,True,2,True,Ex-dividend en 14 días ($0.28) | Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:28.306187
CL,NYQ,Consumer Defensive,United States,72369127424,T1,SMA50W (85.00) > SMA200W (84.48); spot (90.35) > SMA200W,90.3499984741211,84.63036598400275,86.5514172648986,85.59089162445068,0.05267412208129218,5,6,SMA200W | HVN | FIB_786 | POLARIDAD | EMA200D | FIB_618,True,62.95634286866124,56.98241546522357,subiendo_positivo,1,True,52.77777777777778,95.84211,0.06078706827484903,2.0,0.65,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:35:28.350607
