ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
CS.PA,PAR,Financial Services,France,83077685248,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,42.16999816894531,39.51008923721314,40.30991045761108,39.90999984741211,0.044109267064280554,21.0,12,POLARIDAD | HVN | SMA200D | AVWAP_52w_high | FIB_786 | EMA200D | POLARIDAD | SMA50W | FIB_618 | EMA50D | AVWAP_pivot_low | POLARIDAD,True,67.945905408002,57.789081058618265,subiendo_positivo,1,True,36.11111111111111,46.47659,0.10212454394238346,1.78947,0.7894736842105263,0,,,False,,,False,,True,3,True,,2026-06-16T11:55:03.689718,stoxx600,,41.0,40.0,39.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AIR.PA,PAR,Industrials,Netherlands,138992992256,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,185.83999633789062,173.60849262824155,179.00647061522326,176.3074816217324,0.03677101731234851,16.5,10,SMA50D | FIB_618 | AVWAP_earnings | EMA50D | POLARIDAD | HVN | AVWAP_pivot_low | GAP | POLARIDAD | AVWAP_52w_high,True,62.68564477488697,53.648637745033554,subiendo_positivo,1,True,77.77777777777779,209.74217,0.12861695078087987,1.91304,0.6521739130434783,0,2026-07-29,43,True,,,False,,True,3,True,Earnings en 43 días (2026-07-29),2026-06-16T11:55:03.076501,stoxx600,,180.0,177.5,167.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BATS.L,LSE,Consumer Defensive,United Kingdom,99422339072,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,4584.0,4214.096946533203,4290.252174560547,4252.174560546875,0.06408111375206212,15.0,6,POLARIDAD | EMA200D | SMA50W | SMA200D | HVN | POLARIDAD,True,51.575513646573,54.687380833585884,subiendo_negativo,1,True,49.60317460317461,5027.273,0.09670004363001738,1.81818,0.7272727272727273,0,,,False,,,False,,True,3,True,,2026-06-16T11:55:03.689423,stoxx600,,4400.0,4300.0,4000.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
ARES,NYQ,Financial Services,United States,42322620416,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,135.36000061035156,128.35373368491173,129.47892243157386,128.9163280582428,0.04344768138489464,12.8,3,SMA200W | AVWAP_pivot_low | POLARIDAD,True,63.73042564692215,53.28862328168917,subiendo_positivo,1,True,55.158730158730165,145.23529,0.07295574279787065,1.94118,0.6470588235294118,0,2026-07-30,44,True,,,False,,True,3,True,Earnings en 44 días (2026-07-30),2026-06-16T11:55:03.076133,sp500,,130.0,130.0,122.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CARR,NYQ,Industrials,United States,57924677632,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,71.12999725341797,65.74879587797165,66.65670159669877,66.20274873733521,0.062889017706299,6.8,4,GAP | AVWAP_earnings | AVWAP_pivot_low | HVN,True,62.98914337004381,63.61857145006597,subiendo_positivo,1,True,76.5873015873016,76.2513,0.07199919786775943,2.0,0.5384615384615384,0,2026-07-28,42,True,,,False,,True,3,True,Earnings en 42 días (2026-07-28),2026-06-16T11:55:03.055969,sp500,,69.0,66.0,63.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
FE,NYQ,Utilities,United States,26995382272,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,47.34000015258789,43.5456870331955,44.678711541633604,44.112199287414555,0.05621648927706657,5.4,5,HVN | POLARIDAD | POLARIDAD | POLARIDAD | HVN,True,58.84337825543055,50.49451665336712,subiendo_positivo,1,True,80.55555555555556,52.15385,0.10168673071178591,2.17647,0.5294117647058824,0,,,False,,,False,,True,3,True,,2026-06-16T11:55:03.688891,sp500,,46.0,44.0,43.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BARC.L,LSE,Financial Services,United Kingdom,60964954112,Reversal: Cambio de régimen,Reversal: Cambio de régimen,487.95001220703125,440.6799111145019,456.4985923034668,448.58925170898436,0.06445623345987332,14.2,9,SMA50D | AVWAP_earnings | EMA50D | POLARIDAD | AVWAP_pivot_low | FIB_618 | POLARIDAD | POLARIDAD | GAP,True,68.26931059157748,63.510786488538145,subiendo_positivo,1,True,59.12698412698413,539.875,0.10641456397983973,1.75,0.75,0,2026-07-28,42,True,,,False,,True,3,True,Earnings en 42 días (2026-07-28),2026-06-16T11:55:03.075022,stoxx600,,450.0,450.0,450.0,reversal,hma_weekly_flip,hma_weekly_flip,0
AMCR,NYQ,Consumer Cyclical,Switzerland,17647734784,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,41.11000061035156,38.708190703243204,39.50993589139406,39.10906329731863,0.03892154451962246,10.5,6,HVN | AVWAP_pivot_low | FIB_618 | AVWAP_earnings | SMA50D | EMA50D,True,61.435993561418364,50.13106567604052,subiendo_positivo,1,False,56.74603174603175,48.21455,0.17281803172387944,1.75,0.6666666666666666,0,,,False,,,False,,True,3,True,,2026-06-16T11:55:03.670182,sp500,,40.0,39.0,38.0,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
BXP,NYQ,Real Estate,United States,11675832320,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,65.9800033569336,59.81970448923158,60.773453278078,60.29657888365479,0.07891103082686424,10.1,5,POLARIDAD | FIB_786 | EMA50D | POLARIDAD | AVWAP_earnings,True,69.82765961547103,60.27638165533218,bajando_positivo,0,False,48.01587301587302,69.05,0.04652919804290656,2.18182,0.5,0,2026-07-28,42,True,,,False,,True,3,True,Earnings en 42 días (2026-07-28),2026-06-16T11:55:03.075359,sp500,,64.0,60.0,58.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
