ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate,candle_signals,candle_bullish_confirmation,candle_bearish_breakdown,strike_variant,strike_anchor_kind,strike_aggressive_anchor,strike_conservative_anchor
CS.PA,PAR,Financial Services,France,91288772608,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,43.88999938964844,40.78168467898447,41.84886579934421,41.315275239164336,0.04650566458621627,16.5,11,SMA50W | POLARIDAD | POLARIDAD | POLARIDAD | HVN | GAP | SMA200D | POLARIDAD | POLARIDAD | POLARIDAD | EMA200D,True,50.94028438107334,56.215161008673526,subiendo_positivo,1,True,57.936507936507944,51.93125,0.18321373256268747,1.76471,0.8235294117647058,0,,,False,,,False,,True,3,True,,2026-09-16T11:47:54.366069,stoxx600,,40.0,39.0,38.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
EDP.LS,LIS,Utilities,Portugal,19168995328,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,4.696000099182129,4.37800583577156,4.4103943374156955,4.394200086593628,0.06081894287356924,12.0,5,HVN | SMA200D | EMA200D | POLARIDAD | POLARIDAD,True,53.473040347561316,57.26407000311402,bajando_negativo,0,True,49.60317460317461,5.21591,0.11071334962459223,1.68182,0.7272727272727273,0,2026-11-06,51,False,,,False,,True,3,True,,2026-09-16T11:47:54.243246,stoxx600,,4.0,3.5,3.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
EVRG,NMS,Utilities,United States,18726666240,Uptrend: Proximidad a zona + divergencia,Uptrend: Proximidad a zona + divergencia,80.86000061035156,77.04538252067566,77.78741548347473,77.4163990020752,0.03799882641212204,7.5,3,HVN | POLARIDAD | POLARIDAD,True,41.94688921781655,46.653434848668546,bajando_positivo,0,True,40.07936507936508,91.27273,0.12877478742333093,1.92308,0.6153846153846154,0,,,False,,,False,,True,3,True,,2026-09-16T11:47:54.275060,sp500,,76.0,75.0,73.0,uptrend,zone_proximity,zone_proximity|bullish_divergence,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CDW,NMS,Technology,United States,17827485696,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,153.74000549316406,140.91774906562807,145.94343364311217,143.4305913543701,0.05071270698242924,14.2,10,FIB_618 | SMA50D | POLARIDAD | EMA50D | AVWAP_earnings | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD,True,59.13319242058075,60.29152953137168,subiendo_positivo,1,False,78.96825396825396,158.88889,0.033490856789808676,1.8,0.7,0,2026-11-03,48,False,,,False,,True,3,True,,2026-09-16T11:47:54.242267,sp500,,137.5,132.5,120.0,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed|zone_proximity,0,body_reclaim_morning_star|body_reclaim_piercing|wick_rejection,1,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BDX,NYQ,Healthcare,United States,48054480896,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,185.9199981689453,171.66152492001078,175.28680400374634,173.47416446187856,0.05719230997160725,5.9,4,GAP | SMA50D | AVWAP_pivot_low | EMA50D,True,58.196365219829936,63.232663500447224,subiendo_negativo,1,False,65.07936507936508,195.66667,0.05242400993462737,2.07143,0.5,0,2026-11-05,50,False,,,False,,True,3,True,,2026-09-16T11:47:54.241555,sp500,,170.0,165.0,157.5,downtrend,double_bottom_confirmed,double_bottom_confirmed|zone_proximity,0,body_reclaim_morning_star|body_reclaim_piercing,1,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BP.L,LSE,Energy,United Kingdom,86747832320,Uptrend: Dip post-earnings,Uptrend: Dip post-earnings,577.9000244140625,532.5867457344971,543.9254473807373,538.2560965576172,0.05878971378790354,8.3,7,SMA50D | FIB_786 | AVWAP_52w_high | AVWAP_earnings | EMA50D | HVN | FIB_618,True,68.63792363474963,59.83553171073735,subiendo_positivo,1,True,42.46031746031746,610.6674,0.05670076864793461,2.31579,0.47368421052631576,0,2026-10-30,44,True,,,False,,True,3,True,Earnings en 44 días (2026-10-30),2026-09-16T11:47:54.243696,stoxx600,,500.0,450.0,400.0,uptrend,post_earnings_dip,post_earnings_dip|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
