ticker,exchange,sector,country,market_cap,tipo_T,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals
APP,NMS,Communication Services,United States,163229663232,T1,SMA50W (502.10) > SMA200W (204.96); spot (485.89) > SMA200W,485.8900146484375,454.6117319954002,483.75605694957767,469.18389447248893,0.034382513886473204,14.0,10,SMA50D | FIB_786 | FIB_618 | HVN | EMA50D | POLARIDAD | POLARIDAD | AVWAP_pivot_low | EMA200D | AVWAP_earnings,True,54.37444191988382,50.474426898265335,bajando_negativo,0,True,41.66666666666667,644.4667,0.3263633344395842,1.46875,0.875,0,,,False,,,False,,True,2,True,Evento macro: fomc en 26 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 19 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-22T10:23:18.861470,sp500,
ALL,NYQ,Financial Services,United States,55201345536,T1,SMA50W (204.99) > SMA200W (165.17); spot (214.44) > SMA200W,214.44000244140625,204.1433550004379,209.47914484697418,206.81124992370604,0.035575230511316065,10.0,5,SMA50W | EMA200D | SMA200D | HVN | POLARIDAD,True,47.53274317061474,55.02407338848919,bajando_positivo,0,True,53.57142857142857,241.86365,0.12788494332388844,2.16,0.52,0,,,False,,,False,,True,2,True,Evento macro: fomc en 26 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 19 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-22T10:23:19.272693,sp500,
ABNB,NMS,Consumer Cyclical,United States,79678029824,T1,SMA50W (129.48) > SMA200W (128.84); spot (134.25) > SMA200W,134.25,126.8304200441777,131.68397921729695,129.25719963073732,0.03719031932411681,10.0,8,POLARIDAD | SMA200D | SMA200W | HVN | SMA50W | POLARIDAD | EMA200D | POLARIDAD,True,46.68785461724037,52.22074869361089,subiendo_negativo,2,True,37.698412698412696,156.7857,0.16786368715083788,2.17073,0.5121951219512195,0,,,False,,,False,,True,2,True,Evento macro: fomc en 26 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 19 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-22T10:23:18.849457,sp500,
AEE,NYQ,Utilities,United States,30398396416,T1,SMA50W (103.92) > SMA200W (88.96); spot (109.84) > SMA200W,109.83999633789062,104.04815371797207,106.01574543669102,105.03194957733155,0.043773187553361986,10.0,9,POLARIDAD | POLARIDAD | SMA50W | HVN | SMA200D | EMA200D | POLARIDAD | POLARIDAD | POLARIDAD,True,49.62896628034687,53.66446134263428,subiendo_negativo,2,True,88.09523809523809,119.86667,0.09128435903498433,1.94118,0.5294117647058824,0,,,False,2026-06-08,17,True,0.75,True,2,True,Ex-dividend en 17 días ($0.75) | Evento macro: fomc en 26 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 19 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-22T10:23:18.813559,sp500,
