ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
BATS.L,LSE,Consumer Defensive,United Kingdom,95149219840,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,4489.0,4214.096946533203,4290.252174560547,4252.174560546875,0.04427440976597299,15.0,6,POLARIDAD | SMA50W | EMA200D | SMA200D | HVN | POLARIDAD,True,46.795064425495234,52.97098182324445,subiendo_negativo,2,True,88.09523809523809,5027.273,0.11990933392737801,1.81818,0.7272727272727273,0,,,False,,,False,,True,3,True,,2026-06-10T10:46:30.893690,stoxx600,,4300.0,4300.0,4000.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
BA.L,LSE,Industrials,United Kingdom,55757000704,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,1936.0,1799.6925,1815.3075,1807.5,0.06234116735537196,7.5,3,POLARIDAD | HVN | POLARIDAD,True,44.792571794097725,47.27933188058502,subiendo_positivo,2,True,52.38095238095239,2322.5,0.19963842975206614,2.27778,0.5555555555555556,0,,,False,,,False,,True,3,True,,2026-06-10T10:46:30.889304,stoxx600,,1850.0,1800.0,1700.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
EDPR.LS,LIS,Utilities,Spain,14962949120,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,13.539999961853027,12.650308305325508,12.83299177974224,12.741650042533873,0.05221626175056716,6.0,3,SMA200D | EMA200D | HVN,True,40.3046145892686,52.76960114873022,bajando_negativo,0,False,30.952380952380953,14.21522,0.04986854062402557,2.17391,0.5217391304347826,0,2026-07-29,49,False,,,False,,True,3,True,,2026-06-10T10:46:30.873115,stoxx600,,13.0,12.5,12.5,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
