ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate,candle_signals,candle_bullish_confirmation,candle_bearish_breakdown,strike_variant,strike_anchor_kind,strike_aggressive_anchor,strike_conservative_anchor
EDP.LS,LIS,Utilities,Portugal,19168995328,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,4.63700008392334,4.37800583577156,4.4103943374156955,4.394200086593628,0.04886904084675247,12.0,5,HVN | SMA200D | EMA200D | POLARIDAD | POLARIDAD,True,48.90166760786569,55.032251856424516,bajando_negativo,0,True,51.587301587301596,5.21591,0.12484578511951372,1.68182,0.7272727272727273,0,2026-11-06,52,False,,,False,,True,3,True,,2026-09-15T11:58:38.981159,stoxx600,,4.0,3.5,3.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
EVRG,NMS,Utilities,United States,18726666240,Uptrend: Proximidad a zona + divergencia,Uptrend: Proximidad a zona + divergencia,80.86000061035156,77.04538252067566,77.78741548347473,77.4163990020752,0.03799882641212204,7.5,3,HVN | POLARIDAD | POLARIDAD,True,41.94688921781655,46.653434848668546,bajando_positivo,0,True,40.07936507936508,91.27273,0.12877478742333093,1.92308,0.6153846153846154,0,2026-11-05,51,False,,,False,,True,3,True,,2026-09-15T11:58:38.980838,sp500,,76.0,75.0,73.0,uptrend,zone_proximity,zone_proximity|bullish_divergence,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CS.PA,PAR,Financial Services,France,91288772608,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,43.65999984741211,38.930741220474246,39.589259237289426,39.260000228881836,0.09323730243585815,7.0,4,POLARIDAD | POLARIDAD | HVN | POLARIDAD,True,48.57294450469988,55.268857363195806,subiendo_negativo,2,True,61.904761904761905,51.93125,0.1894468662733666,1.76471,0.8235294117647058,0,,,False,,,False,,True,3,True,,2026-09-15T11:58:39.104082,stoxx600,,38.0,37.0,36.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CDW,NMS,Technology,United States,17827485696,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,151.6999969482422,140.79922818603515,145.94337435302734,143.37130126953124,0.03794741404760163,14.2,10,SMA50D | EMA50D | FIB_618 | AVWAP_earnings | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD,True,57.43077522731293,58.807575677289165,subiendo_positivo,1,False,80.55555555555556,158.88889,0.04738888066168223,1.8,0.7,0,2026-11-03,49,False,,,False,,True,3,True,,2026-09-15T11:58:38.980672,sp500,,137.5,132.5,120.0,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed|zone_proximity,0,body_reclaim_morning_star|wick_rejection,1,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BDX,NYQ,Healthcare,United States,48054480896,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,182.91000366210938,171.6617454642624,174.84549495624324,173.25362021025282,0.04409003632608166,6.3,4,GAP | SMA50D | AVWAP_pivot_low | EMA50D,True,53.89962967549425,61.75254904610655,neutral,0,False,63.888888888888886,195.66667,0.06974285759381482,2.07143,0.5,0,2026-11-05,51,False,,,False,,True,3,True,,2026-09-15T11:58:38.979018,sp500,,170.0,165.0,157.5,downtrend,double_bottom_confirmed,double_bottom_confirmed|zone_proximity,0,body_reclaim_morning_star|body_reclaim_piercing,1,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BP.L,LSE,Energy,United Kingdom,86747832320,Uptrend: Dip post-earnings,Uptrend: Dip post-earnings,568.4949951171875,530.2853982852173,542.7205215145874,536.5029598999024,0.04533808357853184,7.9,7,SMA50D | FIB_786 | AVWAP_earnings | EMA50D | AVWAP_52w_high | FIB_618 | HVN,True,65.3546366646058,58.48399819705885,subiendo_positivo,1,True,44.84126984126984,609.8934,0.07282105425445096,2.31579,0.47368421052631576,0,2026-10-30,45,True,,,False,,True,3,True,Earnings en 45 días (2026-10-30),2026-09-15T11:58:38.975189,stoxx600,,500.0,450.0,400.0,uptrend,post_earnings_dip,post_earnings_dip|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CHRW,NMS,Industrials,United States,17810468864,Uptrend: Dip post-earnings,Uptrend: Dip post-earnings,157.30999755859375,148.94654291682434,151.5310389618378,150.23879093933107,0.03673611777028633,6.5,4,FIB_618 | AVWAP_earnings | AVWAP_pivot_low | HVN,True,57.0348431597498,46.248864692578564,subiendo_positivo,2,True,37.698412698412696,199.4,0.2675608867499273,1.76,0.76,0,2026-10-28,43,True,,,False,,True,3,True,Earnings en 43 días (2026-10-28),2026-09-15T11:58:38.980068,sp500,,147.5,142.5,135.0,uptrend,post_earnings_dip,post_earnings_dip|zone_proximity,0,body_reclaim_engulfing,1,0,F,zone_bound,zone_lower_bound,zone_lower_bound
