ticker,exchange,sector,country,market_cap,tipo_T,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at
ACGL,NMS,Financial Services,Bermuda,33586821120,T1,SMA50W (92.77) > SMA200W (84.34); spot (96.84) > SMA200W,96.83999633789062,93.34797915859329,95.32621917514695,94.33709916687012,0.025845696671522873,6,11,POLARIDAD | FIB_786 | POLARIDAD | HVN | EMA200D | FIB_618 | POLARIDAD | AVWAP_earnings | POLARIDAD | AVWAP_pivot_low | POLARIDAD,True,57.461201697343796,54.25443102665142,subiendo_positivo,1,True,55.158730158730165,108.92105,0.12475272737471599,2.25,0.5,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:18:56.184513
AC.PA,PAR,Consumer Cyclical,France,10334162944,T1,SMA50W (44.71) > SMA200W (37.80); spot (44.96) > SMA200W,44.959999084472656,43.6727744678026,44.97742787543909,44.325101171620844,0.014121395146359782,4,4,AVWAP_pivot_low | AVWAP_52w_high | EMA200D | HVN,True,57.18190553327417,51.069121786983565,subiendo_positivo,1,True,72.61904761904762,55.2875,0.22970420653531654,1.4375,0.875,0,,,False,2026-05-31,10,True,1.26,True,2,True,Ex-dividend en 10 días ($1.26) | Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:18:57.171119
ABNB,NMS,Consumer Cyclical,United States,79678029824,T1,SMA50W (129.51) > SMA200W (128.85); spot (135.55) > SMA200W,135.5500030517578,127.13423863597366,131.94576319508104,129.54000091552734,0.044337897461615226,4,6,POLARIDAD | SMA200W | HVN | POLARIDAD | EMA200D | POLARIDAD,True,49.07099832808228,53.2373638220039,subiendo_negativo,2,True,38.88888888888889,156.7857,0.15666319786163063,2.17073,0.5121951219512195,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:18:56.133131
ABBV,NYQ,Healthcare,United States,378977058816,T1,SMA50W (214.27) > SMA200W (177.05); spot (212.30) > SMA200W,212.3000030517578,204.0854637014132,209.3537342966337,206.71959899902345,0.02628546383663446,3,5,FIB_786 | FIB_618 | HVN | AVWAP_earnings | AVWAP_pivot_low,True,56.9346863860866,48.858244229007944,subiendo_positivo,2,True,42.46031746031746,252.89655,0.1912225452881644,1.75,0.75,0,,,False,,,False,,True,2,True,Evento macro: fomc en 27 días (FOMC meeting - June 16-17 (statement + economic projections)) | Evento macro: cpi en 20 días (CPI release - May 2026 data (8:30 AM ET)),2026-05-21T22:18:56.132665
