ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
BAC,NYQ,Financial Services,United States,410750681088,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,56.97999954223633,52.4427881227721,53.58107924805845,53.01193368541527,0.0596511112931553,23.2,8,SMA200D | GAP | HVN | POLARIDAD | POLARIDAD | FIB_618 | SMA50D | AVWAP_earnings,True,62.233677405491854,60.7877797998451,bajando_positivo,0,True,37.698412698412696,63.97727,0.1228022203225354,1.41667,0.9166666666666666,1,2026-07-14,13,True,,,False,,True,3,True,Earnings en 13 días (2026-07-14),2026-07-01T10:37:06.147058,sp500,,56.0,53.0,51.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BATS.L,LSE,Consumer Defensive,United Kingdom,100559257600,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,4591.0,4269.949252392577,4431.350649951172,4350.649951171875,0.03477441734890606,17.2,12,HVN | EMA200D | SMA50W | POLARIDAD | SMA200D | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | FIB_618 | POLARIDAD,True,50.513268939607215,53.55173620039476,bajando_positivo,0,True,82.53968253968253,5054.545,0.10096819864953166,1.81818,0.7272727272727273,0,,,False,,,False,,True,3,True,,2026-07-01T10:37:06.234179,stoxx600,,4400.0,4400.0,4100.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ACGL,NMS,Financial Services,Bermuda,34079461376,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,97.05999755859375,90.78225900024381,92.34164725042388,91.56195312533384,0.048612718183116306,13.5,6,FIB_618 | POLARIDAD | HVN | POLARIDAD | POLARIDAD | AVWAP_pivot_low,True,62.97231941888897,55.10564171221108,subiendo_positivo,1,True,51.587301587301596,108.71053,0.12003433684791709,2.25,0.5,0,2026-07-28,27,True,,,False,,True,3,True,Earnings en 27 días (2026-07-28),2026-07-01T10:37:06.138205,sp500,,95.0,92.0,89.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CARR,NYQ,Industrials,United States,60989521920,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,73.3499984741211,66.52268359807968,69.10781616540909,67.81524988174439,0.05783479750457943,12.9,8,HVN | SMA50D | EMA50D | AVWAP_earnings | POLARIDAD | POLARIDAD | AVWAP_pivot_low | POLARIDAD,True,60.30020298465445,65.79657015988039,bajando_positivo,0,True,74.60317460317461,76.37048,0.04117902643098992,1.95833,0.5416666666666666,0,2026-07-28,27,True,,,False,,True,3,True,Earnings en 27 días (2026-07-28),2026-07-01T10:37:06.225316,sp500,,71.0,68.0,64.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
C,NYQ,Financial Services,United States,243027673088,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,139.9600067138672,130.40074129320575,132.92444207065708,131.66259168193142,0.05026839315314942,12.2,5,FIB_618 | SMA50D | POLARIDAD | EMA50D | AVWAP_earnings,True,55.98408815246721,67.39882626897985,bajando_negativo,0,True,57.14285714285714,149.0238,0.06475988033254909,1.59091,0.8181818181818182,1,2026-07-14,13,True,,,False,,True,3,True,Earnings en 13 días (2026-07-14),2026-07-01T10:37:06.226297,sp500,,137.5,132.5,127.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BKNG,NMS,Consumer Cyclical,United States,140609454080,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,178.24000549316406,167.8721567611601,172.08997923694437,169.98106799905224,0.03450418574215965,12.1,6,AVWAP_earnings | SMA50D | HVN | GAP | EMA50D | POLARIDAD,True,57.71828531205731,49.98453901877411,neutral,1,True,83.33333333333334,224.40572,0.259008713442878,1.54054,0.8108108108108109,0,2026-07-29,28,True,,,False,,True,3,True,Earnings en 28 días (2026-07-29),2026-07-01T10:37:06.199464,nasdaq100|sp500,,172.5,170.0,162.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ALLE,NYQ,Industrials,Ireland,12006099968,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,140.49000549316406,133.1175104269374,134.22427086623253,133.67089064658495,0.04459914856531492,12.0,4,AVWAP_earnings | POLARIDAD | AVWAP_pivot_low | SMA50D,True,62.32822706536332,45.974864480087774,subiendo_positivo,2,True,78.17460317460318,165.18182,0.17575495438383615,2.18182,0.45454545454545453,0,2026-07-23,22,True,,,False,,True,3,True,Earnings en 22 días (2026-07-23),2026-07-01T10:37:06.146216,sp500,,137.5,132.5,130.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AME,NYQ,Industrials,United States,54440300544,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,241.94000244140625,225.2523901401062,232.28837456936643,228.7703823547363,0.03989265013906613,11.4,8,FIB_786 | HVN | FIB_618 | POLARIDAD | EMA50D | SMA50D | AVWAP_earnings | HVN,True,61.30861844285053,66.88384373871929,bajando_positivo,0,True,79.36507936507937,260.57895,0.07703954439327498,1.7,0.7,0,2026-07-30,29,True,,,False,,True,3,True,Earnings en 29 días (2026-07-30),2026-07-01T10:37:06.130342,sp500,,237.5,230.0,220.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BA.L,LSE,Industrials,United Kingdom,52320985088,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,1894.0,1788.8607628005745,1815.3020814221113,1802.0814221113428,0.041551171371641334,11.2,4,AVWAP_pivot_low | POLARIDAD | HVN | POLARIDAD,True,51.452982390918095,46.628114411207186,subiendo_positivo,2,True,32.53968253968254,2304.889,0.21694244984160505,2.16667,0.6111111111111112,0,,,False,,,False,,True,3,True,,2026-07-01T10:37:06.215150,stoxx600,,1800.0,1800.0,1650.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AIR.PA,PAR,Industrials,Netherlands,149321416704,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,198.97999572753906,184.84365562996925,189.95344828034874,187.398551955159,0.0453640950899922,11.0,4,AVWAP_pivot_low | POLARIDAD | SMA50W | SMA200D,True,69.70321465112555,60.69471859185043,bajando_positivo,0,True,46.82539682539682,210.43784,0.05758289535873762,1.82609,0.6956521739130435,0,2026-07-29,28,True,,,False,,True,3,True,Earnings en 28 días (2026-07-29),2026-07-01T10:37:06.148258,stoxx600,,195.0,187.5,180.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
A,NYQ,Healthcare,United States,38413565952,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,132.8300018310547,124.59886037736078,127.6849625377979,126.14191145757934,0.03873401507440102,12.8,8,GAP | POLARIDAD | FIB_786 | EMA50D | EMA200D | POLARIDAD | FIB_618 | AVWAP_52w_high,True,57.41486788406043,55.683768363950094,subiendo_negativo,1,False,66.66666666666666,160.33333,0.20705659707756796,1.55,0.85,0,2026-08-26,56,False,,,False,,True,3,True,,2026-07-01T10:37:06.141275,sp500,,127.5,125.0,120.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
AJG,NYQ,Financial Services,United States,58071461888,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,229.57000732421875,208.81881669449317,216.50184425992057,212.66033047720686,0.05692452257424977,10.5,7,AVWAP_earnings | POLARIDAD | SMA50D | FIB_786 | HVN | EMA50D | FIB_618,True,66.2047018042017,51.75572191364383,subiendo_positivo,1,False,69.84126984126983,264.73685,0.15318570176336488,1.63636,0.7727272727272727,0,2026-07-30,29,True,,,False,,True,3,True,Earnings en 29 días (2026-07-30),2026-07-01T10:37:06.143980,sp500,,222.5,212.5,202.5,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
BKT.MC,MCE,Financial Services,Spain,13174887424,Reversal: Doble piso en formación,Reversal: Doble piso en formación,14.640000343322754,13.504076307315827,13.743623392086029,13.623849849700928,0.061227932391788434,10.2,4,HVN | EMA200D | SMA50W | POLARIDAD,True,54.36401648548087,56.00395714674484,bajando_negativo,0,True,45.23809523809524,15.40136,0.05200543981028649,2.5,0.5,0,2026-07-23,22,True,,,False,,True,3,True,Earnings en 22 días (2026-07-23),2026-07-01T10:37:06.173989,stoxx600,,14.5,13.5,13.0,reversal,double_bottom_unconfirmed,double_bottom_unconfirmed|hma_weekly_flip,0
AMCR,NYQ,Consumer Cyclical,Switzerland,19894734848,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,43.349998474121094,39.38189892642975,40.81988200313568,40.100890464782715,0.05836485720976047,8.3,7,SMA50D | AVWAP_earnings | POLARIDAD | GAP | EMA50D | AVWAP_52w_high | FIB_786,True,67.78309800459627,55.17599788093776,subiendo_positivo,1,False,47.61904761904761,48.21455,0.11221572542344904,1.75,0.6666666666666666,0,,,False,,,False,,True,3,True,,2026-07-01T10:37:06.185395,sp500,,42.0,40.0,38.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
BARC.L,LSE,Financial Services,United Kingdom,68646887424,Reversal: Doble piso en formación,Reversal: Doble piso en formación,510.0,486.5501652021606,493.440007293279,489.99508624771977,0.03247057393474707,6.1,3,AVWAP_52w_high | POLARIDAD | POLARIDAD,True,63.69726600121107,67.11326004397563,bajando_positivo,0,True,61.904761904761905,550.941,0.08027647058823528,1.70588,0.7647058823529411,0,2026-07-28,27,True,,,False,,True,3,True,Earnings en 27 días (2026-07-28),2026-07-01T10:37:06.186503,stoxx600,,500.0,500.0,450.0,reversal,double_bottom_unconfirmed,double_bottom_unconfirmed|hma_weekly_flip,0
