ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
BAS.DE,GER,Basic Materials,Germany,44053372928,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,51.279998779296875,47.99726757843399,49.06973314635849,48.53350036239624,0.04310190494448162,16.9,7,FIB_786 | SMA200D | POLARIDAD | EMA200D | HVN | FIB_618 | SMA50D,True,61.396740233368845,56.21404276074981,bajando_positivo,0,True,42.06349206349206,52.59524,0.025648230343447764,2.2381,0.5714285714285714,0,,,False,,,False,,True,3,True,,2026-08-10T08:24:54.522845,stoxx600,,50.0,49.0,47.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BX,NYQ,Financial Services,United States,167623704576,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,137.1300048828125,127.45742067422867,131.5012796965599,129.47935018539428,0.04104663447698964,15.8,10,SMA200W | POLARIDAD | HVN | POLARIDAD | AVWAP_52w_high | POLARIDAD | EMA200D | AVWAP_pivot_low | AVWAP_earnings | SMA200D,True,63.2298193867123,58.193547153970755,bajando_positivo,0,True,57.14285714285714,142.38095,0.038291729965843846,2.08696,0.5217391304347826,0,,,False,,,False,,True,3,True,,2026-08-10T08:24:54.537226,sp500,,132.5,130.0,122.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ABBV,NYQ,Healthcare,United States,433120477184,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,246.0399932861328,224.55514131537146,225.49902763379097,225.02708447458122,0.08348628764777144,15.0,5,EMA200D | SMA50W | SMA200D | POLARIDAD | HVN,True,47.21196362342195,57.481017207081074,neutral,1,True,53.17460317460318,274.35715,0.11509168219223476,1.74194,0.7741935483870968,0,,,False,,,False,,True,3,True,,2026-08-10T08:24:54.472818,sp500,,240.0,225.0,217.5,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
COR,NYQ,Healthcare,United States,59996790784,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,320.4599914550781,300.9114334754249,310.7558458466923,305.83363966105856,0.030281925566818066,12.9,9,EMA50D | FIB_786 | HVN | POLARIDAD | FIB_618 | POLARIDAD | EMA200D | GAP | POLARIDAD,True,62.14005517372812,56.10372715280008,subiendo_positivo,1,True,76.5873015873016,367.25,0.14600889281831253,1.57143,0.8571428571428571,0,,,False,,,False,,True,3,True,,2026-08-10T08:24:54.607140,sp500,,310.0,305.0,290.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ARES,NYQ,Financial Services,United States,45706850304,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,136.85000610351562,127.76020439147949,131.82979194641112,129.7949981689453,0.03668406235442278,12.3,6,POLARIDAD | GAP | POLARIDAD | SMA200W | AVWAP_pivot_low | POLARIDAD,True,62.07704987835281,55.632912202864475,bajando_positivo,0,True,64.28571428571429,146.5,0.07051511484175577,2.0,0.6111111111111112,0,,,False,2026-09-16,37,True,1.35,True,3,True,Ex-dividend en 37 días ($1.35),2026-08-10T08:24:54.754362,sp500,,132.5,130.0,122.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AVGO,NMS,Technology,United States,1866065772544,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,427.760009765625,391.3641290107422,403.3973807548828,397.38075488281254,0.05695396590272842,12.2,8,FIB_618 | AVWAP_earnings | AVWAP_52w_high | EMA50D | SMA50D | GAP | AVWAP_pivot_low | POLARIDAD,True,64.82297754707723,58.96179555677618,subiendo_positivo,1,True,49.2063492063492,527.88446,0.234066878503286,1.3125,0.9166666666666666,1,2026-09-02,23,True,,,False,,True,3,True,Earnings en 23 días (2026-09-02),2026-08-10T08:24:54.450313,nasdaq100|sp500|watchlist,,410.0,395.0,375.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BKR,NMS,Energy,United States,60364509184,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,61.54999923706055,59.07063749435066,59.6565100347886,59.36357376456964,0.030763431774859133,12.0,4,POLARIDAD | AVWAP_pivot_low | SMA50D | EMA50D,True,59.2410712641564,54.27473197345835,bajando_positivo,0,True,37.301587301587304,71.3913,0.15989115978759916,1.70833,0.7916666666666666,0,,,False,,,False,,True,3,True,,2026-08-10T08:24:54.532697,nasdaq100|sp500,,60.0,59.0,57.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BSX,NYQ,Healthcare,United States,70186188800,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,49.310001373291016,45.84903682635693,46.47739590900712,46.163216367682026,0.057444846590861944,12.0,3,SMA50D | POLARIDAD | AVWAP_pivot_low,True,64.65080596770282,35.4866249206181,bajando_positivo,1,True,65.07936507936508,62.68966,0.2713376242969674,1.58065,0.8387096774193549,1,,,False,,,False,,True,3,True,,2026-08-10T08:24:54.534912,sp500,,48.0,46.0,44.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CVNA,NYQ,Consumer Cyclical,United States,98406219776,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,70.8499984741211,66.34324541720623,67.17324438908847,66.75824490314736,0.05189490704612521,11.1,5,POLARIDAD | GAP | SMA50D | HVN | EMA50D,True,58.051519829179895,51.96907683328197,subiendo_positivo,1,True,63.888888888888886,82.825,0.16901907951702966,2.0,0.6666666666666666,0,,,False,,,False,,True,3,True,,2026-08-10T08:24:54.649442,sp500,,67.0,67.0,62.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip|bullish_divergence,0
AIR.PA,PAR,Industrials,Netherlands,166301941760,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,213.25,190.06530699192047,195.72009271205903,192.89269985198973,0.08220355117440081,10.6,5,SMA200D | SMA50W | POLARIDAD | HVN | SMA50D,True,62.118887949686965,63.3641207354967,bajando_positivo,0,True,66.26984126984127,229.73914,0.0773230480656506,1.83333,0.75,0,,,False,,,False,,True,3,True,,2026-08-10T08:24:54.460400,stoxx600,,207.5,192.5,185.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
