ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
AZN.L,LSE,Healthcare,United Kingdom,221059891200,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,14364.0,13527.9288845828,13891.709819351967,13709.819351967384,0.032880129535507736,19.5,8,EMA200D | AVWAP_earnings | SMA200D | SMA50D | HVN | POLARIDAD | EMA50D | POLARIDAD,True,59.3718740932338,55.06567980418829,bajando_positivo,0,True,86.90476190476191,16320.13,0.13618281815650235,1.75,0.7916666666666666,0,2026-07-27,24,True,,,False,,True,3,True,Earnings en 24 días (2026-07-27),2026-07-03T10:00:50.026524,stoxx600,,14000.0,13750.0,13000.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BRK-B,NYQ,Financial Services,United States,1075536723968,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,507.7799987792969,479.6334984544067,491.4855595289917,485.5595289916992,0.03208956494835757,18.8,13,FIB_618 | SMA50D | AVWAP_earnings | EMA200D | EMA50D | POLARIDAD | POLARIDAD | AVWAP_52w_high | AVWAP_pivot_low | POLARIDAD | SMA200D | SMA50W | POLARIDAD,True,67.11361621240763,60.7630146031826,subiendo_positivo,1,True,72.61904761904762,520.3333,0.02472192928213257,,0.5,0,2026-08-01,29,True,,,False,,True,3,True,Earnings en 29 días (2026-08-01),2026-07-03T10:00:50.060860,sp500,,500.0,485.0,475.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BATS.L,LSE,Consumer Defensive,United Kingdom,100559257600,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,4590.0,4267.210719999999,4431.34928,4349.28,0.03456442701525046,17.2,12,HVN | SMA50W | POLARIDAD | EMA200D | SMA200D | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | FIB_618 | POLARIDAD,True,50.396652030669784,53.53131911326425,bajando_positivo,0,True,82.93650793650794,5054.545,0.1012080610021786,1.81818,0.7272727272727273,0,,,False,,,False,,True,3,True,,2026-07-03T10:00:50.057635,stoxx600,,4400.0,4300.0,4100.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ALLE,NYQ,Industrials,Ireland,12006099968,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,140.5800018310547,133.09840171717835,134.06258043003845,133.5804910736084,0.04636094263854613,14.2,4,FIB_618 | AVWAP_earnings | POLARIDAD | SMA50D,True,62.01535949370508,46.07211648395574,neutral,1,True,78.17460317460318,165.18182,0.1750022609795603,2.18182,0.45454545454545453,0,2026-07-23,20,True,,,False,,True,3,True,Earnings en 20 días (2026-07-23),2026-07-03T10:00:50.025354,sp500,,137.5,132.5,130.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BKNG,NMS,Consumer Cyclical,United States,140609454080,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,184.55999755859375,168.3167972329712,172.090201668396,170.20349945068358,0.06756499813150936,12.9,6,SMA50D | AVWAP_earnings | HVN | GAP | EMA50D | POLARIDAD,True,63.05463486384417,53.19663904232116,bajando_positivo,0,True,81.34920634920636,224.37714,0.2157409133513084,1.54054,0.8108108108108109,0,2026-07-29,26,True,,,False,,True,3,True,Earnings en 26 días (2026-07-29),2026-07-03T10:00:50.051419,nasdaq100|sp500,,177.5,170.0,162.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
C,NYQ,Financial Services,United States,243027673088,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,139.97000122070312,131.81747597836727,133.22446377149225,132.52096987492976,0.048192736946358845,12.0,4,POLARIDAD | SMA50D | AVWAP_earnings | EMA50D,True,55.892128602818296,67.4119259659836,bajando_negativo,0,True,53.57142857142857,149.775,0.07005071582328903,1.68182,0.7727272727272727,1,2026-07-14,11,True,,,False,,True,3,True,Earnings en 11 días (2026-07-14),2026-07-03T10:00:50.059559,sp500,,137.5,132.5,127.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BA.L,LSE,Industrials,United Kingdom,52320985088,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,1962.5,1799.6894818605754,1821.3467969886651,1810.5181394246201,0.07192519898666745,11.2,4,POLARIDAD | HVN | POLARIDAD | AVWAP_pivot_low,True,58.71420708672769,49.60184869661737,subiendo_positivo,2,True,76.19047619047619,2304.889,0.1744657324840766,2.16667,0.6111111111111112,0,,,False,,,False,,True,3,True,,2026-07-03T10:00:50.037232,stoxx600,,1850.0,1800.0,1700.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ABNB,NMS,Consumer Cyclical,United States,86390571008,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,148.92999267578125,141.25845520697985,141.81892380210436,141.5386895045421,0.04774772862010135,8.2,2,POLARIDAD | AVWAP_pivot_low,True,63.86527478802842,64.03937331702537,bajando_positivo,0,True,68.65079365079364,156.74324,0.05246255091966656,2.11628,0.5348837209302325,0,2026-08-05,33,True,,,False,,True,3,True,Earnings en 33 días (2026-08-05),2026-07-03T10:00:50.023125,nasdaq100|sp500,,145.0,142.5,137.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ALNY,NMS,Healthcare,United States,38901559296,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,312.7799987792969,292.6403742822809,296.12058042852726,294.3804773554041,0.053262415805956934,7.5,3,AVWAP_pivot_low | AVWAP_earnings | SMA50D,True,64.12799984989667,46.80148660198164,subiendo_positivo,2,True,39.285714285714285,434.72,0.3898586920410667,1.7931,0.7241379310344828,0,2026-07-30,27,True,,,False,,True,3,True,Earnings en 27 días (2026-07-30),2026-07-03T10:00:50.099803,nasdaq100,,305.0,295.0,280.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ALGN,NMS,Healthcare,United States,12778821632,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,184.52000427246094,169.3978172896128,175.52943209808544,172.4636246938491,0.04872410560483234,16.8,9,FIB_786 | AVWAP_earnings | EMA200D | HVN | SMA50D | FIB_618 | EMA50D | POLARIDAD | AVWAP_pivot_low,True,58.340512755975325,56.334186797207806,subiendo_positivo,1,False,86.90476190476191,209.07143,0.1330556316879692,1.875,0.6875,0,2026-07-29,26,True,,,False,,True,3,True,Earnings en 26 días (2026-07-29),2026-07-03T10:00:50.019443,sp500,,177.5,172.5,162.5,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
