ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
ALL,NYQ,Financial Services,United States,53888495616,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,219.0749969482422,205.44844242965698,208.66706446731567,207.05775344848632,0.047508536464275095,14.6,5,SMA50W | SMA200D | HVN | EMA200D | POLARIDAD,True,57.98454052913668,57.08646985902944,subiendo_negativo,1,True,65.47619047619048,241.86365,0.10402215391627645,2.16,0.52,0,,,False,,,False,,True,3,True,,2026-06-05T16:43:51.556123,sp500,,212.5,207.5,200.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
DLR,NYQ,Real Estate,United States,66809241600,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,187.55999755859375,173.20148598953247,179.02611990646363,176.11380294799807,0.04549945491156307,14.1,8,SMA50W | SMA200D | HVN | POLARIDAD | EMA200D | POLARIDAD | POLARIDAD | POLARIDAD,True,45.205838126971805,55.0754278473367,subiendo_negativo,2,True,65.47619047619048,218.72414,0.16615559206152453,1.71875,0.71875,1,2026-07-23,48,False,,,False,,True,3,True,,2026-06-05T16:43:51.657753,sp500,,182.5,175.0,170.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CARR,NYQ,Industrials,United States,56138928128,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,66.68000030517578,61.59238705247879,62.6329128971672,62.112649974823,0.06069417200789124,14.0,6,HVN | EMA200D | SMA50W | FIB_786 | POLARIDAD | SMA50D,True,56.24850710365943,58.213615510743665,subiendo_positivo,1,True,65.47619047619048,76.30818,0.14439381599818102,1.96,0.56,0,2026-07-28,53,False,,,False,,True,3,True,,2026-06-05T16:43:51.709732,sp500,,64.0,62.0,59.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BARC.L,LSE,Financial Services,United Kingdom,62262427648,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,457.6499938964844,424.4615415439606,434.20433293724057,429.3329372406006,0.051230550140785036,13.9,5,SMA200D | FIB_618 | POLARIDAD | SMA50D | HVN,True,57.34623879519684,57.36137538708052,bajando_positivo,0,True,62.301587301587304,539.25,0.17830221171590943,1.75,0.75,0,2026-07-28,53,False,,,False,,True,3,True,,2026-06-05T16:43:51.507930,stoxx600,,450.0,450.0,400.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BKT.MC,MCE,Financial Services,Spain,12658137088,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,14.039999961853027,13.184497994623186,13.418801699438095,13.30164984703064,0.044244890605608315,12.8,5,HVN | POLARIDAD | POLARIDAD | EMA200D | SMA50W,True,48.67388906037395,52.40869473084015,bajando_positivo,0,True,30.158730158730158,15.36545,0.09440527362879259,2.5,0.5,0,2026-07-23,48,False,,,False,,True,3,True,,2026-06-05T16:43:51.509575,stoxx600,,14.0,13.5,13.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
ANET,NYQ,Technology,United States,219725053952,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,154.77000427246094,136.26212741716003,139.4708312315216,137.86647932434082,0.09885102163599023,12.0,7,POLARIDAD | SMA50W | GAP | EMA200D | POLARIDAD | HVN | FIB_786,True,48.638048596939996,55.37461661165662,bajando_positivo,0,True,72.61904761904762,188.19922,0.2159928591117013,1.3,0.9666666666666667,0,2026-08-04,60,False,,,False,,True,3,True,,2026-06-05T16:43:51.507391,sp500,,147.5,137.5,127.5,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
ASML,NMS,Technology,Netherlands,665369640960,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,1674.93994140625,1518.2726725554,1548.7534837812934,1533.5130781683467,0.07533789988852535,10.7,5,EMA50D | AVWAP_earnings | FIB_618 | POLARIDAD | POLARIDAD,True,59.36782691358173,69.68297819698563,subiendo_positivo,1,True,83.73015873015873,1676.4661,0.0009111721298309394,1.45455,0.8636363636363636,0,2026-07-15,40,True,,,False,,True,3,True,Earnings en 40 días (2026-07-15),2026-06-05T16:43:51.510915,nasdaq100,,1610.0,1535.0,1450.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
APH,NYQ,Technology,United States,181717942272,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,140.6750030517578,134.26017283934817,135.38743459714303,134.82380371824559,0.037587121662754526,9.8,3,GAP | SMA200D | AVWAP_earnings,True,52.21623850396201,52.87198638476811,bajando_positivo,0,True,89.28571428571429,182.27779,0.2957368832111238,1.55556,0.8333333333333334,0,2026-07-29,54,False,,,False,,True,3,True,,2026-06-05T16:43:51.480380,sp500,,135.0,135.0,127.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CAH,NYQ,Healthcare,United States,45866872832,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,206.64999389648438,192.867101665945,194.29147937597017,193.57929052095758,0.05980408848550396,8.2,3,EMA200D | AVWAP_earnings | SMA200D,True,62.38860191652777,53.438726792676604,subiendo_positivo,1,True,53.57142857142857,245.26666,0.18686991165777433,1.47059,0.8235294117647058,0,,,False,,,False,,True,3,True,,2026-06-05T16:43:51.627334,sp500,,202.5,192.5,187.5,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
BA.L,LSE,Industrials,United Kingdom,55757000704,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,1930.5,1799.6925,1815.3075,1807.5,0.059669774669774724,7.5,3,POLARIDAD | HVN | POLARIDAD,True,43.57618003747445,47.03948228554838,bajando_positivo,1,True,71.42857142857143,2322.5,0.2030562030562031,2.27778,0.5555555555555556,0,,,False,,,False,,True,3,True,,2026-06-05T16:43:51.554103,stoxx600,,1850.0,1800.0,1700.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
