ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate,candle_signals,candle_bullish_confirmation,candle_bearish_breakdown,strike_variant,strike_anchor_kind,strike_aggressive_anchor,strike_conservative_anchor
CFG,NYQ,Financial Services,United States,28235694080,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,67.04000091552734,63.96061860006333,64.80523303110122,64.38292581558227,0.03333484268954594,12.0,4,POLARIDAD | HVN | EMA200D | SMA200D,True,35.985933500860966,49.735496226098896,bajando_negativo,0,True,36.904761904761905,81.47059,0.2152534141915614,1.61111,0.8333333333333334,0,2026-10-16,25,True,,,False,,True,2,True,Earnings en 25 días (2026-10-16),2026-09-21T13:09:53.628400,sp500,,63.0,62.0,59.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BAC,NYQ,Financial Services,United States,403691372544,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,57.72999954223633,52.56465173564911,52.932749768867495,52.7487007522583,0.08309803934536804,9.0,4,HVN | GAP | POLARIDAD | POLARIDAD,True,29.161894042512245,49.68170532190719,bajando_negativo,0,True,75.79365079365078,68.85714,0.1927445097175664,1.54167,0.8333333333333334,0,2026-10-14,23,True,,,False,,True,2,True,Earnings en 23 días (2026-10-14),2026-09-21T13:09:53.628134,sp500,,52.0,51.0,48.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
AMAT,NMS,Technology,United States,352809615360,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,444.57000732421875,415.8419530656814,426.5512014600754,421.1965772628784,0.040530862557721974,8.7,5,SMA200D | POLARIDAD | HVN | EMA200D | DIVERGENCIA,True,43.79325711251097,46.925618400398314,subiendo_negativo,2,True,36.904761904761905,640.8857,0.44158555332458804,1.4359,0.8461538461538461,0,2026-11-12,52,False,,,False,,True,2,True,,2026-09-21T13:09:53.625508,nasdaq100|sp500,macd,410.0,390.0,350.0,uptrend,zone_proximity,zone_proximity,0,bearish_momentum|body_reclaim_engulfing,1,1,F,zone_bound,zone_lower_bound,zone_lower_bound
CDW,NMS,Technology,United States,18276296704,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,146.19000244140625,138.48604844683803,139.01086891225836,138.7484586795482,0.04910823865691723,11.2,3,HVN | POLARIDAD | EMA200D,True,50.50752387393362,55.14181266573221,bajando_negativo,0,False,78.96825396825396,158.88889,0.08686563613461562,1.8,0.7,0,2026-11-03,43,True,,,False,,True,2,True,Earnings en 43 días (2026-11-03),2026-09-21T13:09:53.626714,sp500,,135.0,130.0,117.5,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
ARM,NMS,Technology,United Kingdom,294351077376,Downtrend: Doble piso en formación + divergencia,Downtrend: Doble piso en formación + divergencia,275.6099853515625,254.14253071393344,255.79421036450208,254.96837053921774,0.07189788483818474,5.2,3,GAP | AVWAP_earnings | AVWAP_pivot_low,True,57.72519217696099,54.054689893946225,subiendo_positivo,1,True,55.952380952380956,288.705,0.04751284548610868,1.95349,0.6511627906976745,0,2026-11-04,44,True,,,False,,True,2,True,Earnings en 44 días (2026-11-04),2026-09-21T13:09:53.627281,nasdaq100,,250.0,235.0,200.0,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed|zone_proximity|bullish_divergence,0,wick_rejection,1,0,F,zone_bound,zone_lower_bound,zone_lower_bound
