ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate,candle_signals,candle_bullish_confirmation,candle_bearish_breakdown,strike_variant,strike_anchor_kind,strike_aggressive_anchor,strike_conservative_anchor
CS.PA,PAR,Financial Services,France,91288772608,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,44.689998626708984,40.7976607464532,41.88072427685174,41.33919251165247,0.0628613657682747,16.5,11,SMA50W | POLARIDAD | POLARIDAD | POLARIDAD | HVN | GAP | SMA200D | POLARIDAD | POLARIDAD | POLARIDAD | EMA200D,True,57.85239107234903,59.216194673443866,subiendo_positivo,1,True,62.698412698412696,51.93111,0.16202979628116077,1.76471,0.8333333333333334,0,,,False,,,False,,True,2,True,,2026-09-17T11:58:58.093531,stoxx600,,40.0,39.0,38.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CFG,NYQ,Financial Services,United States,29326538752,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,66.83999633789062,63.96068297506332,64.67641865610123,64.31855081558228,0.032369506288600594,12.0,4,POLARIDAD | EMA200D | HVN | SMA200D,True,33.98873391161453,49.30335028133593,bajando_negativo,0,True,62.698412698412696,81.47059,0.21888980346660358,1.61111,0.8333333333333334,0,2026-10-16,29,True,,,False,,True,2,True,Earnings en 29 días (2026-10-16),2026-09-17T11:58:57.854252,sp500,,63.0,62.0,58.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
EDP.LS,LIS,Utilities,Portugal,19168995328,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,4.761000156402588,4.37800583577156,4.4103943374156955,4.394200086593628,0.07364121139870118,12.0,5,HVN | EMA200D | SMA200D | POLARIDAD | POLARIDAD,True,57.75805279419361,59.942226852584305,subiendo_negativo,1,True,51.98412698412699,5.21591,0.09554921836867614,1.68182,0.7272727272727273,0,2026-11-06,50,False,,,False,,True,2,True,,2026-09-17T11:58:57.851657,stoxx600,,4.0,3.5,3.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BAC,NYQ,Financial Services,United States,437466365952,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,57.900001525878906,52.56465173564911,52.932749768867495,52.7487007522583,0.08579018352514645,9.0,4,HVN | GAP | POLARIDAD | POLARIDAD,True,28.512605181125437,50.097811524345694,bajando_negativo,0,True,82.53968253968253,69.0,0.19170981315362923,1.54167,0.8333333333333334,0,2026-10-14,27,True,,,False,,True,2,True,Earnings en 27 días (2026-10-14),2026-09-17T11:58:57.854591,sp500,,52.0,51.0,48.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
CDW,NMS,Technology,United States,17827485696,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,149.9600067138672,138.5549116415346,139.06520944408774,138.8100605428112,0.07265135224065028,11.2,3,EMA200D | POLARIDAD | HVN,True,54.76298803658592,57.59840017568241,subiendo_positivo,1,False,80.15873015873017,158.88889,0.05954176371283881,1.8,0.7,0,2026-11-03,47,False,,,False,,True,2,True,,2026-09-17T11:58:57.883647,sp500,,135.0,130.0,117.5,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BP.L,LSE,Energy,United Kingdom,86747832320,Uptrend: Dip post-earnings,Uptrend: Dip post-earnings,564.5999755859375,530.6221800054321,542.7206899896851,536.6714349975587,0.038751835887959926,8.0,7,FIB_786 | SMA50D | AVWAP_52w_high | AVWAP_earnings | EMA50D | FIB_618 | HVN,True,59.82136635358682,57.89725961301144,bajando_positivo,0,True,45.63492063492063,615.173,0.08957319624673765,2.31579,0.47368421052631576,0,2026-10-30,43,True,,,False,,True,2,True,Earnings en 43 días (2026-10-30),2026-09-17T11:58:57.852348,stoxx600,,500.0,450.0,400.0,uptrend,post_earnings_dip,post_earnings_dip|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
