ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate,candle_signals,candle_bullish_confirmation,candle_bearish_breakdown,strike_variant,strike_anchor_kind,strike_aggressive_anchor,strike_conservative_anchor
COR,NYQ,Healthcare,United States,63154253824,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,323.32000732421875,306.26170059583643,311.0355940593844,308.64864732761043,0.03799459664281094,13.2,6,FIB_786 | POLARIDAD | HVN | FIB_618 | POLARIDAD | EMA200D,True,51.846185318739735,55.724371992121675,bajando_negativo,0,True,73.80952380952381,369.30768,0.14223577766304385,1.73333,0.7333333333333333,0,,,False,,,False,,True,3,True,,2026-09-10T11:30:28.172176,sp500,,300.0,295.0,280.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
DLR,NYQ,Real Estate,United States,71148068864,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,189.0800018310547,175.9723337497711,179.34795967674256,177.66014671325684,0.051470499577252096,12.9,5,POLARIDAD | HVN | SMA50W | POLARIDAD | SMA200D,True,49.53120014144979,51.89637449578467,subiendo_negativo,2,True,58.730158730158735,223.32259,0.18110105689305778,1.45455,0.8484848484848485,0,,,False,,,False,,True,3,True,,2026-09-10T11:30:28.163672,sp500,,172.5,170.0,160.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
EDP.LS,LIS,Utilities,Portugal,19479037952,Uptrend: Proximidad a zona,Uptrend: Proximidad a zona,4.769999980926514,4.36615671297133,4.410388409890532,4.388272561430931,0.07539026676602442,12.0,5,SMA200D | EMA200D | HVN | POLARIDAD | POLARIDAD,True,63.11510292771485,60.792061119283794,subiendo_positivo,1,True,30.952380952380953,5.14773,0.07918868356056419,1.72727,0.6818181818181818,0,,,False,,,False,,True,3,True,,2026-09-10T11:30:28.161077,stoxx600,,4.0,3.5,3.0,uptrend,zone_proximity,zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
EVRG,NMS,Utilities,United States,18726666240,Uptrend: Proximidad a zona + divergencia,Uptrend: Proximidad a zona + divergencia,81.22000122070312,76.89465881744385,77.78734008392334,77.3409994506836,0.042263741506873974,6.8,3,HVN | POLARIDAD | POLARIDAD,True,43.366134455471915,47.56149574924175,subiendo_positivo,2,True,55.55555555555556,91.27273,0.12377159108850666,1.92308,0.6153846153846154,0,2026-11-05,56,False,,,False,,True,3,True,,2026-09-10T11:30:28.144672,sp500,,76.0,75.0,72.0,uptrend,zone_proximity,zone_proximity|bullish_divergence,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BDX,NYQ,Healthcare,United States,51105214464,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,179.8000030517578,170.78507077140935,174.27419207396935,172.52963142268936,0.030733097241370952,6.0,4,SMA50D | GAP | AVWAP_pivot_low | EMA50D,True,47.7203045964097,60.54907776295718,bajando_negativo,0,False,45.63492063492063,195.66667,0.08824619954914437,2.07143,0.5,0,,,False,,,False,,True,3,True,,2026-09-10T11:30:28.171524,sp500,,167.5,165.0,157.5,downtrend,double_bottom_confirmed,double_bottom_confirmed|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
BP.L,LSE,Energy,United Kingdom,83363823616,Uptrend: Dip post-earnings,Uptrend: Dip post-earnings,562.2999877929688,530.4252436348846,542.7205914722412,536.5729175535629,0.03482019695141175,7.0,6,AVWAP_earnings | EMA50D | FIB_618 | AVWAP_52w_high | AVWAP_pivot_low | HVN,True,64.26352390487742,57.56844678483567,subiendo_positivo,1,True,46.42857142857143,602.9584,0.07230733254435195,2.31579,0.47368421052631576,0,,,False,,,False,,True,3,True,,2026-09-10T11:30:28.163177,stoxx600,,500.0,450.0,400.0,uptrend,post_earnings_dip,post_earnings_dip|zone_proximity,0,,0,0,F,zone_bound,zone_lower_bound,zone_lower_bound
