ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
BKT.MC,MCE,Financial Services,Spain,12658137088,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,14.085000038146973,13.184497544622422,13.419702150964737,13.30209984779358,0.04723449665462427,12.8,5,HVN | POLARIDAD | POLARIDAD | EMA200D | SMA50W,True,49.83074059051671,52.82569936338509,bajando_positivo,0,True,31.349206349206348,15.36545,0.09090876523856095,2.5,0.5,0,2026-07-23,50,False,,,False,,True,3,True,,2026-06-03T20:33:37.013227,stoxx600,,14.0,13.5,13.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
CARR,NYQ,Industrials,United States,56138928128,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,67.58999633789062,61.50057505075782,63.65411528614745,62.57734516845264,0.05823170979426045,10.8,8,EMA200D | HVN | SMA50W | SMA50D | POLARIDAD | FIB_786 | EMA50D | FIB_618,True,60.849032626428205,59.34534765528049,subiendo_positivo,1,True,73.4126984126984,76.30818,0.1289863017379984,1.96,0.56,0,2026-07-28,55,False,,,False,,True,3,True,,2026-06-03T20:33:37.018384,sp500,,65.0,63.0,59.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
APH,NYQ,Technology,United States,181717942272,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,147.7100067138672,134.04201114318317,135.0357543703443,134.53888275676374,0.08580496762196008,9.8,3,SMA200D | GAP | AVWAP_earnings,True,61.2072327924399,56.8744229061215,neutral,0,True,87.6984126984127,182.0,0.23214401007073837,1.55556,0.8333333333333334,0,2026-07-29,56,False,,,False,,True,3,True,,2026-06-03T20:33:37.018936,sp500,,142.5,135.0,127.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BA.L,LSE,Industrials,United Kingdom,55757000704,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,1900.0,1799.6925,1815.3075,1807.5,0.04457500000000006,7.5,3,POLARIDAD | HVN | POLARIDAD,True,39.24442185788825,45.96272823592663,bajando_positivo,0,True,81.34920634920636,2322.5,0.22236842105263155,2.27778,0.5555555555555556,0,,,False,,,False,,True,3,True,,2026-06-03T20:33:37.022525,stoxx600,,1800.0,1800.0,1700.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CAST.ST,STO,Real Estate,Sweden,56487096320,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,122.94999694824219,110.18822805023193,113.36177500152588,111.7750015258789,0.077984727000462,15.2,8,GAP | SMA200D | HVN | POLARIDAD | POLARIDAD | POLARIDAD | SMA50W | POLARIDAD,True,49.763506345484295,57.97870652252923,bajando_negativo,0,False,50.39682539682539,128.0,0.04107363299800393,2.63636,0.45454545454545453,0,2026-07-15,42,True,,,False,,True,3,True,Earnings en 42 días (2026-07-15),2026-06-03T20:33:37.019478,stoxx600,,120,112,108,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
