ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
BKT.MC,MCE,Financial Services,Spain,12864836608,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,14.204999923706055,13.18452259359345,13.369579159940978,13.277050876767213,0.058811740109261296,14.2,5,HVN | POLARIDAD | SMA50W | POLARIDAD | EMA200D,True,54.15112259066928,54.550830416851326,subiendo_positivo,1,True,34.92063492063492,15.345,0.08025343769213644,2.5,0.5,0,2026-07-23,55,False,,,False,,True,2,True,,2026-05-29T11:56:31.104769,stoxx600,,14.0,13.5,13.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
DLR,NYQ,Real Estate,United States,68874960896,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,191.42999267578125,172.77549898822429,176.82650014912008,174.80099956867218,0.0762863348764508,11.5,5,SMA200D | SMA50W | HVN | POLARIDAD | EMA200D,True,47.823882599944504,58.46327924633765,subiendo_negativo,1,True,67.06349206349206,218.72414,0.1425803080421466,1.71875,0.71875,1,2026-07-23,55,False,,,False,,True,2,True,,2026-05-29T11:56:31.149056,sp500,,187.5,175.0,170.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CBK.DE,GER,Financial Services,Germany,40483647488,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,36.790000915527344,34.407090455780036,34.614512632598874,34.510801544189455,0.05913259659665563,11.2,3,HVN | SMA50D | POLARIDAD,True,56.01211745153654,60.66333593107451,bajando_negativo,0,True,44.44444444444444,39.87692,0.08390646935727064,2.15385,0.5384615384615384,0,,,False,,,False,,True,2,True,,2026-05-29T11:56:31.149831,stoxx600,,36.0,35.0,33.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ABI.BR,BRU,Consumer Defensive,Belgium,139106369536,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,71.04000091552734,63.67996956972122,64.98433031888962,64.33214994430543,0.08524310977752432,11.2,5,HVN | POLARIDAD | FIB_618 | SMA50D | POLARIDAD,True,60.987068123245024,66.37768342125682,bajando_positivo,0,True,88.09523809523809,78.3913,0.10348112316628466,1.6,0.84,0,,,False,,,False,,True,2,True,,2026-05-29T11:56:31.124297,stoxx600,,70.0,64.0,62.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AIR.PA,PAR,Industrials,Netherlands,138772561920,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,177.6999969482422,169.5200863620122,171.75164762143305,170.63586699172262,0.03347411046124938,9.5,4,FIB_618 | SMA50D | GAP | AVWAP_pivot_low,True,55.485338534651724,48.64937706089733,subiendo_positivo,2,True,86.5079365079365,209.30739,0.17786940683495867,1.91304,0.6521739130434783,0,,,False,,,False,,True,2,True,,2026-05-29T11:56:31.145307,stoxx600,,172.5,170.0,162.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AXON,NMS,Industrials,United States,30340235264,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,439.32000732421875,389.26463590505597,399.564521390171,394.4145786476135,0.09049322878825349,9.1,5,SMA200W | GAP | AVWAP_pivot_low | AVWAP_earnings | HVN,True,62.691025212132544,44.9879769942995,subiendo_positivo,2,True,77.77777777777779,662.0378,0.5069602771617345,1.6,0.9,0,,,False,,,False,,True,2,True,,2026-05-29T11:56:31.119499,nasdaq100|sp500,,415.0,395.0,365.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
CAH,NYQ,Healthcare,United States,47044927488,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,199.85000610351562,192.4145963595715,193.49278215368898,192.95368925663024,0.031809976260565226,8.2,3,SMA200D | EMA200D | AVWAP_earnings,True,51.772593798785415,49.49393409030231,bajando_positivo,1,True,73.4126984126984,245.26666,0.22725370282430757,1.47059,0.8235294117647058,0,,,False,,,False,,True,2,True,,2026-05-29T11:56:31.112567,sp500,,195.0,192.5,187.5,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
HOOD,NMS,Financial Services,United States,72706777088,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,84.83999633789062,75.59907760463172,76.72462548544935,76.16185154504053,0.09565501181919364,7.5,4,FIB_786 | AVWAP_earnings | SMA50D | AVWAP_pivot_low,True,60.54211753154496,48.89010093923646,subiendo_positivo,2,True,38.095238095238095,98.39625,0.15978611795454523,1.92593,0.7037037037037037,0,,,False,,,False,,True,2,True,,2026-05-29T11:56:31.167388,sp500,,80.0,76.0,71.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
CCL,NYQ,Consumer Cyclical,United States,38880866304,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,27.940000534057617,26.25932389399516,26.692924736779926,26.476124315387544,0.04463406490481493,7.1,4,SMA50D | AVWAP_pivot_low | AVWAP_earnings | EMA50D,True,59.183474769398146,51.20692513690892,subiendo_positivo,1,True,74.60317460317461,34.00952,0.21723404974684635,1.6,0.8,0,2026-06-24,26,True,,,False,,True,2,True,Earnings en 26 días (2026-06-24),2026-05-29T11:56:31.149545,sp500,,27.0,26.0,25.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BIIB,NMS,Healthcare,United States,29165713408,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,196.38999938964844,184.98231317138672,190.38768194580078,187.68499755859375,0.030563254048077745,9.6,5,POLARIDAD | SMA50D | AVWAP_pivot_low | EMA50D | POLARIDAD,True,56.999064627756766,62.71187217304526,subiendo_negativo,1,False,50.79365079365079,219.26965,0.11650109823034871,2.0,0.5555555555555556,0,,,False,,,False,,True,2,True,,2026-05-29T11:56:31.126231,sp500,,190.0,187.5,180.0,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
