ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
BAC,NYQ,Financial Services,United States,398828404736,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,56.20000076293945,50.86808737254273,52.953505432614264,51.9107964025785,0.0577668200400819,21.3,13,POLARIDAD | EMA200D | SMA50W | FIB_786 | SMA200D | HVN | GAP | FIB_618 | POLARIDAD | SMA50D | EMA50D | POLARIDAD | AVWAP_earnings,True,67.76067396785248,60.433935711204576,bajando_positivo,0,True,42.857142857142854,63.15909,0.12382720894284494,1.41667,0.9166666666666666,0,2026-07-14,25,True,,,False,,True,2,True,Earnings en 25 días (2026-07-14),2026-06-19T11:25:49.891980,sp500,,55.0,52.0,50.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AEP,NMS,Utilities,United States,69476769792,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,127.69000244140625,120.32925574989319,121.15314094810485,120.74119834899902,0.05119321300272513,10.5,4,POLARIDAD | POLARIDAD | HVN | SMA50W,True,45.893538782992586,51.072562543998394,bajando_positivo,0,True,67.85714285714286,144.09525,0.12847714969793111,1.95833,0.5833333333333334,0,2026-07-30,41,True,,,False,,True,2,True,Earnings en 41 días (2026-07-30),2026-06-19T11:25:49.889117,nasdaq100|sp500,,125.0,120.0,117.5,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
ANET,NYQ,Technology,United States,213643264000,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,169.6699981689453,162.35558796113415,162.84259176564464,162.5990898633894,0.040239326203695865,8.2,2,AVWAP_pivot_low | POLARIDAD,True,58.89142259928669,60.87998798735097,subiendo_positivo,1,True,66.26984126984127,190.0881,0.12034008399483676,1.3,0.9666666666666667,0,2026-08-04,46,False,,,False,,True,2,True,,2026-06-19T11:25:49.890701,sp500,,162.5,162.5,155.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
AAPL,NMS,Technology,United States,4376979046400,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,298.010009765625,266.6187751228479,271.18350013665315,268.90113762975056,0.09001882067676187,5.4,3,EMA200D | SMA200D | HVN,True,50.94093212487923,61.30168503984303,subiendo_negativo,1,True,69.44444444444444,314.4238,0.05507798294186128,1.97872,0.6170212765957447,0,2026-07-30,41,True,,,False,,True,2,True,Earnings en 41 días (2026-07-30),2026-06-19T11:25:49.879772,nasdaq100|sp500,,290.0,270.0,260.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BARC.L,LSE,Financial Services,United Kingdom,67226345472,Reversal: Cambio de régimen,Reversal: Cambio de régimen,497.70001220703125,445.682859229126,455.6006356439209,450.6417474365235,0.08458785519498445,14.2,8,SMA50D | AVWAP_earnings | POLARIDAD | EMA50D | FIB_618 | AVWAP_pivot_low | POLARIDAD | POLARIDAD,True,68.71477737107469,65.18645341271076,subiendo_positivo,1,True,58.730158730158735,544.75,0.09453483351211389,1.75,0.75,0,2026-07-28,39,True,,,False,,True,2,True,Earnings en 39 días (2026-07-28),2026-06-19T11:25:49.892251,stoxx600,,500.0,450.0,450.0,reversal,hma_weekly_flip,hma_weekly_flip,0
APH,NYQ,Technology,United States,201709256704,Reversal: Doble piso confirmado,Reversal: Doble piso confirmado,163.9600067138672,153.895248046875,155.61476171875,154.7550048828125,0.0508980522895488,8.2,4,POLARIDAD | AVWAP_pivot_low | POLARIDAD | POLARIDAD,True,68.31299644020207,62.2548413978244,subiendo_positivo,1,True,78.57142857142857,183.27779,0.11782009328558418,1.55556,0.8333333333333334,0,2026-07-29,40,True,,,False,,True,2,True,Earnings en 40 días (2026-07-29),2026-06-19T11:25:49.892613,sp500,,157.5,155.0,147.5,reversal,double_bottom_confirmed,double_bottom_confirmed|hma_weekly_flip,0
ALGN,NMS,Healthcare,United States,13040229376,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,182.0800018310547,169.19886670621386,170.5890065774957,169.8939366418548,0.06310959544157443,7.5,3,AVWAP_earnings | AVWAP_pivot_low | EMA200D,True,58.84616891803255,55.53533922218978,bajando_positivo,0,False,79.76190476190477,209.07143,0.14823938871655806,1.875,0.6875,0,2026-07-29,40,True,,,False,,True,2,True,Earnings en 40 días (2026-07-29),2026-06-19T11:25:49.889806,sp500,,175.0,170.0,162.5,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
