ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
AXP,NYQ,Financial Services,United States,230152339456,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,343.6499938964844,329.08902715920516,332.8529923211355,330.9710097401703,0.0314185996424059,16.6,6,GAP | HVN | EMA200D | FIB_618 | POLARIDAD | AVWAP_52w_high,True,51.7587106954641,54.775223932754294,subiendo_negativo,1,True,59.92063492063492,375.5028,0.0926896745795096,2.23333,0.5,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.353473,sp500,,335.0,330.0,320.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ABI.BR,BRU,Consumer Defensive,Belgium,136656764928,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,68.87999725341797,63.590043197631836,64.12385450744628,63.85694885253906,0.06904969418731614,12.0,3,SMA200D | HVN | POLARIDAD,True,38.14764775800731,52.03285911230468,bajando_negativo,0,True,73.01587301587301,81.88281,0.18877487318623265,1.68,0.76,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.358913,stoxx600,,67.0,64.0,62.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CAH,NYQ,Healthcare,United States,55878643712,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,231.24000549316406,203.5991630870056,209.27644512832643,206.437804107666,0.09498166339339116,9.9,5,SMA50W | POLARIDAD | HVN | EMA200D | POLARIDAD,True,49.40928401915052,59.17595349321469,bajando_negativo,0,True,53.96825396825397,252.4,0.09150663381843538,,0.8235294117647058,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.394592,sp500,,225.0,207.5,197.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CNP,NYQ,Utilities,United States,26697930752,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,40.47999954223633,38.121424847602846,39.02857477092743,38.57499980926514,0.03585535542791946,9.0,7,POLARIDAD | HVN | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | GAP,True,34.682155799219885,42.73809603440019,subiendo_negativo,2,True,74.60317460317461,46.1875,0.14099556626250798,2.11765,0.47058823529411764,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.395292,sp500,,40.0,39.0,37.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AKAM,NMS,Technology,United States,16767416320,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,125.29000091552734,117.27130925704209,118.28777771243004,117.77954348473607,0.055888124765984475,8.2,3,AVWAP_pivot_low | AVWAP_earnings | POLARIDAD,True,55.94185848337208,54.91226635750017,subiendo_positivo,1,True,72.22222222222221,156.30043,0.2475092094969369,2.2,0.52,1,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.357274,sp500,,120.0,117.5,110.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
ANET,NYQ,Technology,United States,249533317120,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,203.6199951171875,189.62674718924288,190.88155987186735,190.25415353055513,0.06255984456727305,8.2,2,POLARIDAD | AVWAP_pivot_low,True,63.41640531796622,66.64231573844049,subiendo_positivo,1,True,55.952380952380956,241.81519,0.18758076710899818,1.26667,1.0,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.327113,sp500,,192.5,190.0,180.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AEP,NMS,Utilities,United States,67276627968,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,125.37999725341797,118.94023756027222,120.57975908279418,119.7599983215332,0.03828551823080317,7.5,4,POLARIDAD | HVN | POLARIDAD | POLARIDAD,True,39.14284601876873,45.89753492067493,subiendo_negativo,2,True,56.74603174603175,144.4762,0.15230661321506345,2.04167,0.5416666666666666,1,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.348868,nasdaq100|sp500,,122.5,120.0,117.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ETR,NYQ,Utilities,United States,49887576064,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,106.91000366210938,96.2380423558426,98.67745958202362,97.45775096893311,0.07700443174714347,7.5,7,HVN | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD | POLARIDAD,True,39.94833629812397,47.29818592753048,subiendo_negativo,2,True,76.98412698412699,123.54762,0.15562263369173612,1.70833,0.75,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.399391,sp500,,105.0,97.5,95.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BKR,NMS,Energy,United States,64335204352,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,63.439998626708984,55.52002621628571,57.628072218162536,56.57404921722412,0.0916129655478832,7.2,6,SMA50W | FIB_786 | HVN | EMA200D | SMA200D | FIB_618,True,61.37794490832792,56.72725570617181,bajando_positivo,0,True,55.158730158730165,71.3913,0.12533577467549661,1.70833,0.7916666666666666,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.319238,nasdaq100|sp500,,62.0,57.0,54.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CDW,NMS,Technology,United States,16923608064,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,142.0500030517578,134.19868456020743,137.20930533533198,135.7039949477697,0.034077420714042954,15.8,8,AVWAP_52w_high | EMA50D | POLARIDAD | AVWAP_pivot_low | AVWAP_earnings | SMA50D | SMA50W | EMA200D,True,53.95294762628924,54.76115319076201,bajando_negativo,0,False,82.14285714285714,155.88889,0.09742264449793647,1.8,0.7,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.402956,sp500,,137.5,135.0,127.5,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
AJG,NYQ,Financial Services,United States,64985001984,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,253.49000549316406,230.86738194175592,234.38094157764277,232.62416175969935,0.07538389483382062,9.3,3,POLARIDAD | SMA200D | AVWAP_52w_high,True,54.708416112678755,59.80073529838001,subiendo_negativo,1,False,75.79365079365078,290.44443,0.1457825701448907,1.72727,0.7272727272727273,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.359024,sp500,,245.0,235.0,225.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
ALC.SW,EBS,Healthcare,Switzerland,28752631808,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,60.47999954223633,57.405638018186345,57.77759283613028,57.59161542715832,0.04468265090211873,8.2,2,AVWAP_pivot_low | POLARIDAD,True,64.93857965310477,56.72336626604281,neutral,0,False,77.77777777777779,76.162994,0.25930877275902464,1.53846,0.8461538461538461,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.340932,stoxx600,,59.0,58.0,56.0,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
BXP,NYQ,Real Estate,United States,12207417344,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,69.18000030517578,63.73533974014283,64.8854119078064,64.31037582397461,0.06207846745337578,7.4,4,SMA200D | AVWAP_52w_high | EMA200D | HVN,True,52.383129836710125,60.255550953950525,bajando_negativo,0,False,59.12698412698413,74.55,0.07762358587937812,2.13636,0.5454545454545454,0,,,False,,,False,,True,2,True,,2026-08-14T08:08:13.391342,sp500,,67.0,64.0,62.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
