ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
ABT,NYQ,Healthcare,United States,166569590784,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,93.93000030517578,88.44877179975539,90.08727956837023,89.26802568406282,0.040910472951353784,16.5,7,FIB_786 | HVN | GAP | SMA50D | POLARIDAD | FIB_618 | AVWAP_earnings,True,56.60588374766245,41.34057435904313,bajando_positivo,1,True,67.46031746031747,116.4,0.2392206922369835,1.64286,0.75,0,2026-07-16,3,True,,,False,,True,3,True,Earnings en 3 días (2026-07-16),2026-07-13T10:10:29.720146,sp500,,92.0,89.0,86.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
APH,NYQ,Technology,United States,205215416320,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,159.05999755859375,143.33456122947692,147.53443489479065,145.4344980621338,0.07246047303350027,13.7,6,POLARIDAD | POLARIDAD | POLARIDAD | AVWAP_earnings | HVN | SMA50D,True,51.07561143693599,58.85655761083261,bajando_negativo,0,True,65.07936507936508,184.66667,0.16098750681781815,1.55556,0.8333333333333334,0,2026-07-29,16,True,,,False,,True,3,True,Earnings en 16 días (2026-07-29),2026-07-13T10:10:29.746495,sp500,,152.5,145.0,137.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ABNB,NMS,Consumer Cyclical,United States,87630995456,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,148.6199951171875,137.9012421230727,139.6010839971665,138.7511630601196,0.06068437233435204,12.0,6,POLARIDAD | AVWAP_earnings | SMA50D | POLARIDAD | POLARIDAD | EMA50D,True,59.59398742387275,63.65039870164328,bajando_positivo,0,True,70.23809523809523,156.47298,0.05283935635053938,2.11628,0.5348837209302325,0,2026-08-06,24,True,,,False,,True,3,True,Earnings en 24 días (2026-08-06),2026-07-13T10:10:29.727936,nasdaq100|sp500,,145.0,140.0,132.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BAC,NYQ,Financial Services,United States,425085796352,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,59.66999816894531,53.94565500068664,54.74434362602234,54.34499931335449,0.08254826033305429,12.0,5,POLARIDAD | AVWAP_earnings | POLARIDAD | SMA50D | POLARIDAD,True,66.60590830332958,66.67835480984104,bajando_positivo,0,True,50.79365079365079,65.78571,0.10249224097073206,1.5,0.875,1,2026-07-14,1,True,,,False,,True,3,True,Earnings en 1 días (2026-07-14),2026-07-13T10:10:29.754890,sp500,,59.0,54.0,53.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ABI.BR,BRU,Consumer Defensive,Belgium,137333014528,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,70.05999755859375,63.42212913976795,64.12377050841785,63.7729498240929,0.08473062028315397,10.6,3,EMA200D | HVN | POLARIDAD,True,47.530874225591965,57.18059743748624,neutral,1,True,80.15873015873017,80.247986,0.1454180530464002,1.64,0.8,0,2026-07-30,17,True,,,False,,True,3,True,Earnings en 17 días (2026-07-30),2026-07-13T10:10:29.738350,stoxx600,,69.0,64.0,62.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
C,NYQ,Financial Services,United States,245364310016,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,140.7899932861328,131.816376953125,135.42361328125,133.6199951171875,0.03811620328709383,9.9,5,POLARIDAD | SMA50D | AVWAP_earnings | EMA50D | POLARIDAD,True,54.74566295358767,67.96210838651155,bajando_negativo,0,True,53.17460317460318,155.85,0.10696787720743872,1.68182,0.7727272727272727,1,2026-07-14,1,True,,,False,,True,3,True,Earnings en 1 días (2026-07-14),2026-07-13T10:10:29.773298,sp500,,137.5,132.5,127.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BKT.MC,MCE,Financial Services,Spain,13839922176,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,15.399999618530273,14.795160529109129,14.884620486031544,14.839890507570336,0.03346617826396516,8.2,2,POLARIDAD | AVWAP_pivot_low,True,63.462764877759525,61.441750947813965,subiendo_positivo,1,True,56.34920634920635,15.59227,0.01248509001509146,2.5,0.5,0,2026-07-23,10,True,,,False,,True,3,True,Earnings en 10 días (2026-07-23),2026-07-13T10:10:29.776740,stoxx600,,15.0,15.0,14.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AKAM,NMS,Technology,United States,16389303296,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,126.19000244140625,118.05174985121529,118.44488560883713,118.2483177300262,0.06137662796357747,8.2,2,POLARIDAD | AVWAP_pivot_low,True,51.108564403768185,55.41349557139202,subiendo_positivo,1,True,64.28571428571429,159.30043,0.26238550533326044,2.12,0.56,0,2026-08-06,24,True,,,False,,True,3,True,Earnings en 24 días (2026-08-06),2026-07-13T10:10:29.737069,sp500,,120.0,117.5,112.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BP.L,LSE,Energy,United Kingdom,73134383104,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,492.25,455.5054659133911,471.55953347625734,463.5324996948242,0.04203243580242287,8.1,6,HVN | FIB_786 | SMA200W | POLARIDAD | FIB_618 | HVN,True,48.881644682569146,47.22527492892977,subiendo_positivo,3,True,71.42857142857143,595.8746,0.2105121381411883,2.31579,0.47368421052631576,0,,,False,,,False,,True,3,True,,2026-07-13T10:10:29.787739,stoxx600,,500.0,450.0,450.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
APP,NMS,Communication Services,United States,182680551424,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,506.9800109863281,468.23449721710205,474.17121506317136,471.2028561401367,0.0647141804650786,6.5,3,HVN | POLARIDAD | POLARIDAD,True,49.1687053046133,51.085696911622954,bajando_positivo,0,True,63.095238095238095,654.6,0.29117516630779505,1.40625,0.90625,0,2026-08-05,23,True,,,False,,True,3,True,Earnings en 23 días (2026-08-05),2026-07-13T10:10:29.759792,nasdaq100|sp500,,475.0,470.0,435.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
